0,CombatZoneResize,183,251,458,391,TLResume,,,
0,HeartTeleport,320,320,,,,,,
0,HeartMode,1,,,,,,,
0.4,SineBones,90,12,200,50,,,,
0,PlatformRepeat,640,370,60,2,325,3,325,
3.8,SansBody,HandRight,,,,,,,
0,SansSlam,0,,,,,,,
0,BoneStab,0,45,0.7,0.4,,,,
1.1,GasterBlaster,1,0,267,500,271,180,0.5,0.6
0,GasterBlaster,1,0,377,500,371,180,0.5,0.6
0.4,SansBody,HandLeft,,,,,,,
0,HeartMaxFallSpeed,450,,,,,,,
0,SansSlam,2,,,,,,,
0.5,SET,Loop,2,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,SMJB,120,,,,,,
0,ADD,SMJB,$SMJB,261,,,,,
0,GasterBlaster,4,0,$SMJB,550,$SMJB,180,0.7,0.3
0.05,SET,SMJB,$SMJB,0,,,,,
0,JMPNZ,15,$Loop,,,,,,
1.8,EndAttack,,,,,,,,
